timestamp,uptime_s,rss_bytes,heap_committed,fd_count,query_count,query_max_us
1784994154,5,15794176,15794176,19,1,1629650
1784994164,15,15794176,15794176,19,8,1630963
1784994174,25,15794176,15794176,19,18,1630963
1784994185,35,15794176,15794176,19,28,1630963
1784994195,45,15794176,15794176,19,38,1630963
1784994205,55,15794176,15794176,19,48,1630963
1784994216,65,15794176,15794176,19,56,1630963
1784994226,75,15794176,15794176,19,66,1630963
1784994237,90,15794176,15794176,19,80,1630963
1784994247,100,15794176,15794176,19,90,1630963
1784994257,110,15794176,15794176,19,100,1630963
1784994268,120,15794176,15794176,19,110,1630963
1784994280,130,15794176,15794176,19,119,1687023
1784994290,140,15794176,15794176,19,129,1687023
1784994300,150,15794176,15794176,19,139,1687023
1784994311,160,15794176,15794176,19,149,1687023
1784994321,170,15794176,15794176,19,157,1687023
1784994331,180,15794176,15794176,19,167,1687023
1784994342,195,15794176,15794176,19,181,1687023
1784994352,205,15794176,15794176,19,191,1687023
1784994362,216,15794176,15794176,19,201,1687023
1784994373,226,15794176,15794176,19,211,1687023
1784994383,236,15794176,15794176,19,221,1687023
1784994393,246,15794176,15794176,19,231,1687023
1784994405,256,15794176,15794176,19,240,1687023
1784994416,266,15794176,15794176,19,250,1687023
1784994426,276,15794176,15794176,19,258,1687023
1784994436,286,15794176,15794176,19,268,1687023
1784994447,296,15794176,15794176,19,278,1687023
1784994457,311,15794176,15794176,19,292,1687023
1784994467,321,15794176,15794176,19,302,1687023
1784994478,331,15794176,15794176,19,312,1687023
1784994488,341,15794176,15794176,19,322,1687023
1784994498,351,15794176,15794176,19,332,1687023
1784994509,361,15794176,15794176,19,342,1687023
1784994521,371,15794176,15794176,19,351,1687023
1784994531,381,15794176,15794176,19,359,1687023
1784994541,391,15794176,15794176,19,369,1687023
1784994552,401,15794176,15794176,19,379,1687023
1784994562,416,15794176,15794176,19,393,1687023
1784994572,426,15794176,15794176,19,403,1687023
1784994583,436,15794176,15794176,19,413,1687023
1784994593,446,15794176,15794176,19,423,1687023
1784994603,456,15794176,15794176,19,433,1687023
1784994614,466,15794176,15794176,19,443,1687023
1784994624,476,15794176,15794176,19,451,1687023
1784994634,486,15794176,15794176,19,461,1687023
1784994647,496,15794176,15794176,19,470,1712634
1784994657,511,15794176,15794176,19,484,1712634
1784994667,521,15794176,15794176,19,494,1712634
1784994678,531,15794176,15794176,19,504,1712634
1784994688,541,15794176,15794176,19,514,1712634
1784994699,551,15794176,15794176,19,524,1712634
1784994709,561,15794176,15794176,19,532,1712634
1784994719,571,15794176,15794176,19,542,1712634
1784994730,581,15794176,15794176,19,552,1712634
1784994740,591,15794176,15794176,19,562,1712634
1784994750,601,15794176,15794176,19,572,1712634
1784994763,616,15794176,15794176,19,585,1712634
1784994773,626,15794176,15794176,19,595,1712634
1784994783,636,15794176,15794176,19,605,1712634
1784994794,646,15794176,15794176,19,615,1712634
1784994804,656,15794176,15794176,19,623,1712634
1784994814,666,15794176,15794176,19,633,1712634
1784994825,676,15794176,15794176,19,643,1712634
1784994835,686,15794176,15794176,19,653,1712634
1784994846,696,15794176,15794176,19,663,1712634
1784994856,706,15794176,15794176,19,671,1712634
1784994867,716,15794176,15794176,19,681,1712634
1784994879,731,15794176,15794176,19,695,1712634
1784994889,741,15794176,15794176,19,704,1712634
1784994899,751,15794176,15794176,19,714,1712634
1784994910,761,15794176,15794176,19,724,1712634
1784994920,771,15794176,15794176,19,734,1712634
1784994930,781,15794176,15794176,19,744,1712634
1784994941,791,15794176,15794176,19,754,1712634
1784994951,801,15794176,15794176,19,762,1712634
1784994961,811,15794176,15794176,19,772,1712634
1784994972,821,15794176,15794176,19,782,1712634
1784994982,836,15794176,15794176,19,796,1712634
1784994992,846,15794176,15794176,19,806,1712634
1784995004,856,15794176,15794176,19,815,1712634
1784995015,866,15794176,15794176,19,825,1712634
1784995025,876,15794176,15794176,19,835,1712634
1784995035,886,15794176,15794176,19,845,1712634
1784995046,896,15794176,15794176,19,855,1712634
1784995056,906,15794176,15794176,19,865,1712634
1784995066,916,15794176,15794176,19,873,1712634
1784995077,926,15794176,15794176,19,883,1712634
1784995087,936,15794176,15794176,19,893,1712634
1784995097,951,15794176,15794176,19,907,1712634
1784995107,961,15794176,15794176,19,917,1712634
1784995119,971,15794176,15794176,19,927,1712634
1784995130,981,15794176,15794176,19,936,1712634
1784995140,991,15794176,15794176,19,946,1712634
1784995151,1001,15794176,15794176,19,956,1712634
1784995161,1011,15794176,15794176,19,966,1712634
1784995171,1021,15794176,15794176,19,974,1712634
1784995182,1031,15794176,15794176,19,984,1712634
1784995192,1046,15794176,15794176,19,999,1712634
1784995202,1056,15794176,15794176,19,1008,1712634
1784995213,1066,15794176,15794176,19,1018,1712634
1784995223,1076,15794176,15794176,19,1028,1712634
1784995233,1086,15794176,15794176,19,1038,1712634
1784995245,1096,15794176,15794176,19,1047,1712634
1784995256,1106,15794176,15794176,19,1057,1712634
1784995266,1116,15794176,15794176,19,1067,1712634
1784995276,1126,15794176,15794176,19,1075,1712634
1784995287,1136,15794176,15794176,19,1085,1712634
1784995297,1151,15794176,15794176,19,1099,1712634
1784995307,1161,15794176,15794176,19,1109,1712634
1784995318,1171,15794176,15794176,19,1119,1712634
1784995328,1181,15794176,15794176,19,1129,1712634
1784995338,1191,15794176,15794176,19,1139,1712634
1784995349,1201,15794176,15794176,19,1149,1712634
1784995361,1211,15794176,15794176,19,1159,1712634
