timestamp,tool,duration_ms,exit_code
1784993417,trace_path,46,0
1784993419,search_graph,44,0
1784993419,trace_path,39,0
1784993421,search_graph,47,0
1784993421,trace_path,37,0
1784993423,search_graph,55,0
1784993423,trace_path,32,0
1784993425,search_graph,48,0
1784993426,trace_path,42,0
1784993428,search_graph,49,0
1784993428,trace_path,38,0
1784993430,search_graph,54,0
1784993430,trace_path,34,0
1784993432,search_graph,49,0
1784993432,trace_path,46,0
1784993434,search_graph,44,0
1784993434,trace_path,36,0
1784993436,search_graph,43,0
1784993436,trace_path,37,0
1784993438,search_graph,51,0
1784993438,trace_path,45,0
1784993441,search_graph,45,0
1784993441,trace_path,34,0
1784993443,search_graph,56,0
1784993443,trace_path,49,0
1784993445,search_graph,44,0
1784993445,trace_path,33,0
1784993447,search_graph,42,0
1784993447,trace_path,40,0
1784993448,index_repository,1365,0
1784993451,search_graph,50,0
1784993451,trace_path,35,0
1784993453,search_graph,59,0
1784993453,trace_path,43,0
1784993455,search_graph,49,0
1784993455,trace_path,47,0
1784993457,search_graph,39,0
1784993457,trace_path,52,0
1784993459,search_graph,45,0
1784993459,trace_path,50,0
1784993461,search_graph,45,0
1784993461,trace_path,49,0
1784993463,search_graph,52,0
1784993464,trace_path,49,0
1784993466,search_graph,44,0
1784993466,trace_path,37,0
1784993468,search_graph,43,0
1784993468,trace_path,36,0
1784993470,search_graph,46,0
1784993470,trace_path,51,0
1784993472,search_graph,48,0
1784993472,trace_path,42,0
1784993474,search_graph,52,0
1784993474,trace_path,45,0
1784993476,search_graph,50,0
1784993476,trace_path,41,0
1784993479,search_graph,45,0
1784993479,trace_path,41,0
1784993481,search_graph,43,0
1784993481,trace_path,51,0
1784993483,search_graph,38,0
1784993483,trace_path,41,0
1784993485,search_graph,53,0
1784993485,trace_path,36,0
1784993487,search_graph,42,0
1784993487,trace_path,40,0
1784993489,search_graph,48,0
1784993489,trace_path,44,0
1784993491,search_graph,58,0
1784993491,trace_path,44,0
1784993494,search_graph,40,0
1784993494,trace_path,45,0
1784993496,search_graph,47,0
1784993496,trace_path,40,0
1784993498,search_graph,50,0
1784993498,trace_path,40,0
1784993500,search_graph,52,0
1784993500,trace_path,38,0
1784993502,search_graph,43,0
1784993502,trace_path,43,0
1784993504,search_graph,48,0
1784993504,trace_path,36,0
1784993506,search_graph,54,0
1784993507,trace_path,38,0
1784993509,search_graph,45,0
1784993509,trace_path,47,0
1784993511,search_graph,43,0
1784993511,trace_path,39,0
1784993513,search_graph,39,0
1784993513,trace_path,47,0
1784993515,search_graph,48,0
1784993515,trace_path,50,0
1784993517,search_graph,40,0
1784993517,trace_path,42,0
1784993519,search_graph,48,0
1784993519,trace_path,38,0
1784993522,search_graph,49,0
1784993522,trace_path,38,0
1784993524,search_graph,49,0
1784993524,trace_path,50,0
1784993526,search_graph,45,0
1784993526,trace_path,43,0
1784993528,search_graph,41,0
1784993528,trace_path,44,0
1784993530,search_graph,47,0
1784993530,trace_path,49,0
1784993532,search_graph,42,0
1784993532,trace_path,46,0
1784993534,search_graph,46,0
1784993534,trace_path,47,0
1784993537,search_graph,56,0
1784993537,trace_path,49,0
1784993539,search_graph,50,0
1784993539,trace_path,37,0
1784993541,search_graph,53,0
1784993541,trace_path,42,0
1784993543,search_graph,49,0
1784993543,trace_path,46,0
1784993545,search_graph,47,0
1784993545,trace_path,39,0
1784993547,search_graph,54,0
1784993547,trace_path,41,0
1784993549,search_graph,44,0
1784993550,trace_path,44,0
1784993552,search_graph,45,0
1784993552,trace_path,44,0
1784993554,search_graph,43,0
1784993554,trace_path,35,0
1784993556,search_graph,48,0
1784993556,trace_path,36,0
1784993558,search_graph,44,0
1784993558,trace_path,45,0
1784993560,search_graph,52,0
1784993560,trace_path,41,0
1784993562,search_graph,48,0
1784993562,trace_path,44,0
1784993565,search_graph,47,0
1784993565,trace_path,52,0
1784993567,search_graph,42,0
1784993567,trace_path,47,0
1784993568,index_repository,1420,0
1784993570,search_graph,54,0
1784993570,trace_path,46,0
1784993572,search_graph,51,0
1784993573,trace_path,35,0
1784993575,search_graph,45,0
1784993575,trace_path,39,0
1784993577,search_graph,38,0
1784993577,trace_path,41,0
1784993579,search_graph,42,0
1784993579,trace_path,44,0
1784993581,search_graph,57,0
1784993581,trace_path,43,0
1784993583,search_graph,42,0
1784993583,trace_path,44,0
1784993585,search_graph,50,0
1784993585,trace_path,48,0
1784993588,search_graph,43,0
1784993588,trace_path,47,0
1784993590,search_graph,54,0
1784993590,trace_path,41,0
1784993592,search_graph,55,0
1784993592,trace_path,35,0
1784993594,search_graph,43,0
1784993594,trace_path,37,0
1784993596,search_graph,49,0
1784993596,trace_path,53,0
1784993598,search_graph,48,0
1784993598,trace_path,46,0
1784993600,search_graph,44,0
1784993600,trace_path,46,0
1784993603,search_graph,50,0
1784993603,trace_path,41,0
1784993605,search_graph,41,0
1784993605,trace_path,44,0
1784993607,search_graph,45,0
1784993607,trace_path,42,0
1784993609,search_graph,46,0
1784993609,trace_path,38,0
1784993611,search_graph,45,0
1784993611,trace_path,42,0
1784993613,search_graph,54,0
1784993613,trace_path,48,0
1784993615,search_graph,46,0
1784993616,trace_path,46,0
1784993618,search_graph,49,0
1784993618,trace_path,53,0
1784993620,search_graph,40,0
1784993620,trace_path,41,0
1784993622,search_graph,43,0
1784993622,trace_path,45,0
1784993624,search_graph,55,0
1784993624,trace_path,44,0
1784993626,search_graph,49,0
1784993626,trace_path,34,0
1784993628,search_graph,43,0
1784993628,trace_path,43,0
1784993631,search_graph,45,0
1784993631,trace_path,41,0
1784993633,search_graph,48,0
1784993633,trace_path,49,0
1784993635,search_graph,53,0
1784993635,trace_path,49,0
1784993637,search_graph,46,0
1784993637,trace_path,36,0
1784993639,search_graph,41,0
1784993639,trace_path,51,0
1784993641,search_graph,47,0
1784993641,trace_path,43,0
1784993644,search_graph,53,0
1784993644,trace_path,47,0
1784993646,search_graph,47,0
1784993646,trace_path,41,0
1784993648,search_graph,49,0
1784993648,trace_path,40,0
1784993650,search_graph,54,0
1784993650,trace_path,34,0
1784993652,search_graph,52,0
1784993652,trace_path,42,0
1784993654,search_graph,47,0
1784993654,trace_path,39,0
1784993656,search_graph,50,0
1784993656,trace_path,41,0
1784993659,search_graph,54,0
1784993659,trace_path,47,0
1784993661,search_graph,47,0
1784993661,trace_path,47,0
1784993663,search_graph,44,0
1784993663,trace_path,45,0
1784993665,search_graph,43,0
1784993665,trace_path,38,0
1784993667,search_graph,43,0
1784993667,trace_path,37,0
1784993669,search_graph,54,0
1784993669,trace_path,39,0
1784993672,search_graph,56,0
1784993672,trace_path,45,0
1784993674,search_graph,54,0
1784993674,trace_path,43,0
1784993676,search_graph,48,0
1784993676,trace_path,44,0
1784993678,search_graph,46,0
1784993678,trace_path,48,0
1784993680,search_graph,49,0
1784993680,trace_path,41,0
1784993682,search_graph,44,0
1784993682,trace_path,47,0
1784993684,search_graph,45,0
1784993685,trace_path,35,0
1784993687,search_graph,49,0
1784993687,trace_path,49,0
1784993688,index_repository,1405,0
1784993690,search_graph,43,0
1784993690,trace_path,40,0
1784993692,search_graph,53,0
1784993692,trace_path,41,0
1784993695,search_graph,54,0
1784993695,trace_path,48,0
1784993697,search_graph,45,0
1784993697,trace_path,47,0
1784993699,search_graph,42,0
1784993699,trace_path,48,0
1784993701,search_graph,44,0
1784993701,trace_path,46,0
1784993703,search_graph,52,0
1784993703,trace_path,40,0
1784993705,search_graph,53,0
1784993705,trace_path,42,0
1784993707,search_graph,43,0
1784993708,trace_path,36,0
1784993710,search_graph,51,0
1784993710,trace_path,42,0
1784993712,search_graph,43,0
1784993712,trace_path,41,0
1784993714,search_graph,55,0
1784993714,trace_path,45,0
1784993716,search_graph,45,0
1784993716,trace_path,39,0
1784993718,search_graph,52,0
1784993718,trace_path,40,0
1784993720,search_graph,51,0
1784993720,trace_path,35,0
1784993722,search_graph,43,0
1784993723,trace_path,35,0
1784993725,search_graph,45,0
1784993725,trace_path,48,0
1784993727,search_graph,41,0
1784993727,trace_path,48,0
1784993729,search_graph,52,0
1784993729,trace_path,39,0
1784993731,search_graph,40,0
1784993731,trace_path,39,0
1784993733,search_graph,49,0
1784993733,trace_path,41,0
1784993735,search_graph,50,0
1784993735,trace_path,35,0
1784993738,search_graph,53,0
1784993738,trace_path,36,0
1784993740,search_graph,52,0
1784993740,trace_path,47,0
1784993742,search_graph,47,0
1784993742,trace_path,41,0
1784993744,search_graph,41,0
1784993744,trace_path,46,0
1784993746,search_graph,42,0
1784993746,trace_path,53,0
1784993748,search_graph,54,0
1784993748,trace_path,65,0
1784993750,search_graph,59,0
1784993751,trace_path,55,0
1784993753,search_graph,66,0
1784993753,trace_path,54,0
1784993755,search_graph,60,0
1784993755,trace_path,65,0
1784993757,search_graph,65,0
1784993757,trace_path,53,0
1784993759,search_graph,61,0
1784993759,trace_path,50,0
1784993761,search_graph,43,0
1784993762,trace_path,48,0
1784993764,search_graph,57,0
1784993764,trace_path,49,0
1784993766,search_graph,54,0
1784993766,trace_path,48,0
1784993768,search_graph,37,0
1784993768,trace_path,42,0
1784993770,search_graph,55,0
1784993770,trace_path,45,0
1784993772,search_graph,46,0
1784993772,trace_path,50,0
1784993774,search_graph,45,0
1784993774,trace_path,43,0
1784993777,search_graph,45,0
1784993777,trace_path,47,0
1784993779,search_graph,41,0
1784993779,trace_path,43,0
1784993781,search_graph,42,0
1784993781,trace_path,43,0
1784993783,search_graph,42,0
1784993783,trace_path,41,0
1784993785,search_graph,46,0
1784993785,trace_path,47,0
1784993787,search_graph,42,0
1784993787,trace_path,41,0
1784993789,search_graph,48,0
1784993789,trace_path,43,0
1784993792,search_graph,52,0
1784993792,trace_path,43,0
1784993794,search_graph,49,0
1784993794,trace_path,52,0
1784993796,search_graph,40,0
1784993796,trace_path,39,0
1784993798,search_graph,50,0
1784993798,trace_path,42,0
1784993800,search_graph,46,0
1784993800,trace_path,50,0
1784993802,search_graph,45,0
1784993802,trace_path,40,0
1784993804,search_graph,46,0
1784993804,trace_path,48,0
1784993807,search_graph,50,0
1784993807,trace_path,49,0
1784993809,search_graph,43,0
1784993809,trace_path,38,0
1784993810,index_repository,1459,0
1784993812,search_graph,42,0
1784993812,trace_path,53,0
