timestamp,uptime_s,rss_bytes,heap_committed,fd_count,query_count,query_max_us
1784993206,5,14024704,15728640,17,1,1389103
1784993216,15,14893056,15728640,17,8,1399207
1784993227,25,15122432,15728640,17,18,1399207
1784993237,35,15171584,15728640,17,28,1399207
1784993248,45,15269888,15728640,17,36,1399207
1784993259,60,15302656,15728640,17,50,1399207
1784993270,70,15302656,15728640,17,60,1399207
1784993280,80,15319040,15728640,17,68,1399207
1784993291,90,15319040,15728640,17,78,1399207
1784993302,100,15319040,15728640,17,88,1399207
1784993313,110,15335424,15728640,17,96,1399207
1784993323,125,15335424,15728640,17,110,1399207
1784993335,135,15351808,15728640,17,119,1399207
1784993346,145,15368192,15728640,17,129,1399207
1784993357,155,15368192,15728640,17,139,1399207
1784993368,165,15433728,15728640,17,147,1399207
1784993378,180,15450112,15728640,17,161,1399207
1784993389,190,15450112,15728640,17,171,1399207
1784993400,200,15450112,15728640,17,181,1399207
1784993411,210,15466496,15728640,17,189,1399207
1784993421,220,15466496,15728640,17,199,1399207
1784993432,230,15466496,15728640,17,209,1399207
1784993443,240,15466496,15728640,17,217,1399207
1784993455,255,15499264,15728640,17,232,1399207
1784993466,265,15499264,15728640,17,240,1399207
1784993476,275,15499264,15728640,17,250,1399207
1784993487,285,15515648,15728640,17,260,1399207
1784993498,295,15515648,15728640,17,268,1399207
1784993509,310,15515648,15728640,17,282,1399207
1784993519,320,15532032,15728640,17,292,1399207
1784993530,330,15532032,15728640,17,302,1399207
1784993541,340,15532032,15728640,17,310,1399207
1784993552,350,15548416,15728640,17,320,1399207
1784993562,360,15548416,15728640,17,330,1399207
1784993575,375,15564800,15728640,17,343,1399207
1784993585,385,15581184,15728640,17,352,1399207
1784993596,395,15581184,15728640,17,361,1399207
1784993607,405,15581184,15728640,17,371,1399207
1784993618,415,15597568,15728640,17,379,1399207
1784993628,430,15597568,15728640,17,393,1399207
1784993639,440,15597568,15728640,17,403,1399207
1784993650,450,15613952,15728640,17,413,1399207
1784993661,460,15613952,15728640,17,421,1399207
1784993672,470,15613952,15728640,17,431,1399207
1784993682,480,15613952,15728640,17,441,1399207
1784993695,495,15630336,15728640,17,454,1399207
1784993705,505,15630336,15728640,17,464,1399207
1784993716,515,15630336,15728640,17,472,1399207
1784993727,525,15630336,15728640,17,482,1399207
1784993738,535,15630336,15728640,17,492,1399207
1784993748,550,15728640,15728640,17,505,1399207
1784993759,560,15892480,15728640,17,514,1399207
1784993770,570,15892480,15728640,17,524,1399207
1784993781,580,15892480,15728640,17,532,1399207
1784993792,590,15892480,15728640,17,542,1399207
1784993802,600,15892480,15728640,17,552,1399207
1784993815,615,15892480,15728640,17,565,1412696
1784993825,625,15892480,15728640,17,575,1412696
1784993836,635,15892480,15728640,17,583,1412696
1784993847,645,15892480,15728640,17,593,1412696
1784993858,655,15892480,15728640,17,603,1412696
1784993868,665,15892480,15728640,17,611,1412696
1784993879,680,15892480,15728640,17,625,1412696
1784993890,690,15892480,15728640,17,635,1412696
1784993900,700,15892480,15728640,17,645,1412696
1784993911,710,15892480,15728640,17,653,1412696
1784993922,720,15892480,15728640,17,663,1412696
1784993934,735,15892480,15728640,17,676,1412696
1784993945,745,15892480,15728640,17,686,1412696
1784993956,755,15892480,15728640,17,695,1412696
1784993966,765,15892480,15728640,17,704,1412696
1784993977,775,15892480,15728640,17,714,1412696
1784993988,785,15892480,15728640,17,722,1412696
1784993999,800,15892480,15728640,17,736,1412696
1784994009,810,15892480,15728640,17,746,1412696
1784994020,820,15892480,15728640,17,756,1412696
1784994031,830,15892480,15728640,17,764,1412696
1784994042,840,15892480,15728640,17,774,1412696
1784994054,855,15908864,15728640,17,787,1412696
1784994064,865,15908864,15728640,17,797,1412696
1784994075,875,15908864,15728640,17,807,1412696
1784994086,885,15908864,15728640,17,815,1412696
1784994097,895,15908864,15728640,17,825,1412696
1784994107,905,15908864,15728640,17,835,1412696
1784994118,915,15908864,15728640,17,843,1412696
1784994129,930,15908864,15728640,17,857,1412696
1784994140,940,15908864,15728640,17,867,1412696
1784994150,950,15908864,15728640,17,877,1412696
1784994161,960,15908864,15728640,17,885,1412696
1784994173,970,15908864,15728640,17,895,1412696
1784994184,985,15925248,15728640,17,908,1412696
1784994195,995,15925248,15728640,17,918,1412696
1784994206,1005,15925248,15728640,17,928,1412696
1784994216,1015,15925248,15728640,17,936,1412696
1784994227,1025,15925248,15728640,17,946,1412696
1784994238,1035,15925248,15728640,17,956,1412696
1784994248,1045,15925248,15728640,17,964,1412696
1784994259,1060,15925248,15728640,17,978,1412696
1784994270,1070,15925248,15728640,17,988,1412696
1784994281,1080,15925248,15728640,17,998,1412696
1784994293,1090,15925248,15728640,17,1006,1412696
1784994303,1105,15941632,15728640,17,1021,1412696
1784994314,1115,15941632,15728640,17,1029,1412696
1784994325,1125,15941632,15728640,17,1039,1412696
1784994336,1135,15941632,15728640,17,1049,1412696
1784994346,1145,15941632,15728640,17,1057,1412696
1784994357,1155,15941632,15728640,17,1067,1412696
1784994368,1165,16285696,17104896,18,1075,1412696
1784994379,1180,15941632,15728640,17,1089,1412696
1784994389,1190,15941632,15728640,17,1099,1412696
1784994400,1200,15941632,15728640,17,1109,1412696
1784994412,1210,15941632,15728640,17,1117,1412696
